MSJO_DATUM,CIC0001,CIC0002,CIC0003,CIC0004,CIC0005,CIC0006,CIC0007,CIC0008,CIC0009,CIC0010,CIC0011,CIC0012,CIC0013
2016-11-04 16:00:00,1.5,123.79499999999999,0.0,18.0,31.50747138,1.0,86.5,435.12580905,9.5,10.5,6.5,23.89999962,19.349999429999997
2016-11-04 17:00:00,1.0,123.79499999999999,0.0,40.0,32.00747138,0.5,85.0,427.6350482,13.0,7.0,7.5,23.89999962,19.10000038
2016-11-04 18:00:00,0.5,141.48,0.0,28.0,32.50747138,1.0,85.0,407.92582735,7.0,6.5,6.0,23.70000076,18.349999429999997
2016-11-04 19:00:00,1.0,123.79499999999999,0.0,27.5,32.00747138,1.0,85.5,432.38714630000004,12.0,14.0,10.0,23.44999981,17.89999962
2016-11-04 20:00:00,1.0,123.79499999999999,0.0,30.5,32.00747138,0.5,85.0,430.17798615000004,11.0,9.5,4.5,23.349999429999997,17.60000038
2016-11-04 21:00:00,1.5,123.79499999999999,0.0,31.5,32.50747138,1.0,86.5,423.16805325,11.5,10.0,10.5,23.29999924,18.10000038
2016-11-04 22:00:00,1.0,123.79499999999999,0.0,39.0,32.50747138,0.5,87.0,414.30903655,2.0,6.0,5.0,23.20000076,17.60000038
2016-11-04 23:00:00,0.5,123.79499999999999,0.0,16.5,32.50747138,1.0,85.0,425.8053668,1.5,10.0,6.0,22.94999981,17.0
2016-11-05 00:00:00,1.0,123.79499999999999,0.0,50.0,32.00747138,0.5,84.5,412.95905365,2.0,7.0,8.0,22.79999924,17.05000019
2016-11-05 01:00:00,1.0,123.79499999999999,0.0,53.5,32.00747138,1.0,85.0,429.37168885000006,3.5,9.0,8.5,22.89999962,16.64999962
2016-11-05 02:00:00,0.5,123.79499999999999,0.0,43.5,32.00747138,1.0,85.0,398.07476840000004,2.5,7.0,4.5,22.849999429999997,16.05000019
2016-11-05 03:00:00,1.0,123.79499999999999,0.0,42.0,32.00747138,0.5,86.5,427.25870510000004,5.0,11.0,6.0,22.60000038,16.44999981
2016-11-05 04:00:00,1.0,123.79499999999999,0.0,39.5,32.00747138,1.0,86.5,409.77142395,0.0,7.0,4.0,22.60000038,16.39999962
2016-11-05 05:00:00,0.5,123.79499999999999,0.0,42.0,32.50747138,0.5,85.0,397.21974215,0.0,10.5,13.0,22.25,15.900000095
2016-11-05 06:00:00,0.5,123.79499999999999,0.0,34.5,32.50747138,1.0,84.5,358.54309845,10.0,0.0,0.0,22.0,15.19999981
2016-11-05 07:00:00,0.0,106.11,0.0,38.5,30.50747138,1.0,83.0,363.2610248,13.0,0.0,0.0,21.89999962,14.89999962
2016-11-05 08:00:00,0.0,123.79499999999999,0.0,29.5,29.50747138,1.0,79.5,341.4192886000001,11.5,0.0,0.0,21.89999962,14.69999981
2016-11-05 09:00:00,0.5,123.79499999999999,0.0,25.5,27.00747138,1.0,79.0,342.89419555000006,13.0,0.0,0.0,21.89999962,15.75
2016-11-05 10:00:00,0.0,123.79499999999999,0.0,21.0,25.50747138,1.0,78.5,330.48706849999996,8.0,0.0,0.0,22.349999429999997,16.60000038
2016-11-05 11:00:00,0.0,123.79499999999999,0.0,23.0,28.00747138,0.5,77.5,339.04865295,13.5,0.0,0.0,22.94999981,19.650000570000003
2016-11-05 12:00:00,1.5,123.79499999999999,0.0,15.0,31.50747138,1.0,78.5,365.794075,9.5,0.0,0.0,23.69999981,21.39999962
2016-11-05 13:00:00,0.5,35.37,0.0,26.5,31.00747138,1.0,74.5,294.20068360000005,12.0,0.0,0.0,24.25,22.10000038
2016-11-05 14:00:00,0.0,0.0,0.0,16.5,18.50747138,0.5,12.0,158.09433174999998,0.0,0.0,0.0,24.349999429999997,22.0
2016-11-05 15:00:00,0.0,0.0,0.0,69.5,8.007471382999999,1.0,21.0,87.846155165,0.0,0.0,0.0,24.10000038,22.29999924
2016-11-05 16:00:00,0.0,0.0,0.0,34.0,8.507471383,0.5,31.0,81.990507125,0.0,0.0,0.0,23.94999981,21.849999429999997
2016-11-05 17:00:00,0.0,0.0,0.0,33.0,8.507471383,1.0,28.0,77.347675325,0.0,0.0,0.0,23.75,21.150000570000003
2016-11-05 18:00:00,1.0,0.0,0.0,21.5,8.507471382999999,0.5,26.5,86.24143982,0.0,0.0,0.0,23.60000038,20.349999429999997
2016-11-05 19:00:00,2.0,0.0,0.0,30.5,8.007471382999999,1.0,28.0,86.02159691,0.0,0.0,0.0,22.650000570000003,16.69999981
2016-11-05 20:00:00,3.0,0.0,0.0,31.0,7.007471383,1.0,23.5,85.418453215,0.0,0.0,0.0,22.349999429999997,16.70000076
2016-11-05 21:00:00,3.0,0.0,0.0,20.5,1.007471383,0.5,17.5,85.607172015,0.0,0.0,0.0,22.0,15.599999905
2016-11-05 22:00:00,3.0,0.0,0.0,17.5,0.5074713829999999,1.0,17.0,76.54556560500001,0.0,0.0,0.0,21.69999981,14.799999714999998
2016-11-05 23:00:00,3.0,0.0,0.0,28.5,1.007471383,0.5,18.0,74.111427305,0.0,0.0,0.0,21.0,13.75
2016-11-06 00:00:00,3.0,0.0,0.0,20.5,0.25373569149999997,1.0,18.0,76.19273186000001,0.0,0.0,0.0,20.69999981,13.60000038
2016-11-06 01:00:00,3.0,0.0,0.0,22.0,1.007471383,0.5,17.5,75.311722755,0.0,0.0,0.0,20.5,13.349999905
2016-11-06 02:00:00,3.0,0.0,0.0,21.0,0.5074713829999999,1.0,18.0,77.346076015,0.0,0.0,0.0,20.150000570000003,12.89999962
2016-11-06 03:00:00,3.0,0.0,0.0,22.0,0.7537356915000001,0.5,17.5,75.06953812,0.0,0.0,0.0,19.849999429999997,12.650000095
2016-11-06 04:00:00,3.0,0.0,0.0,27.0,0.5074713829999999,1.0,15.0,72.2178421,0.0,0.0,0.0,19.75,12.39999962
2016-11-06 05:00:00,3.0,0.0,0.0,20.5,0.7537356915000001,0.5,11.0,72.814246175,0.0,0.0,0.0,19.5,12.10000038
2016-11-06 06:00:00,3.0,0.0,0.0,26.0,0.5074713829999999,1.0,10.5,76.09462166,0.0,0.0,0.0,19.349999429999997,12.0
2016-11-06 07:00:00,2.5,0.0,0.0,25.5,0.25373569149999997,1.0,12.0,73.636198045,0.0,0.0,0.0,19.05000019,11.05000019
2016-11-06 08:00:00,3.0,0.0,0.0,23.0,0.5074713829999999,0.5,16.0,61.34568405,0.0,0.0,0.0,18.69999981,11.14999962
2016-11-06 09:00:00,3.0,0.0,0.0,24.5,0.25373569149999997,1.0,16.5,60.308612825,0.0,0.0,0.0,18.55000019,12.349999905
2016-11-06 10:00:00,2.5,0.0,0.0,31.5,1.007471383,0.5,16.5,62.281579015000005,0.0,0.0,0.0,18.5,13.5
2016-11-06 11:00:00,3.5,0.0,0.0,27.0,0.7537356915000001,1.0,16.5,73.6855793,0.0,0.0,0.0,18.5,13.14999962
2016-11-06 12:00:00,3.0,0.0,0.0,31.0,0.5074713829999999,0.5,16.0,73.86144924,0.0,0.0,0.0,18.70000076,15.10000038
2016-11-06 13:00:00,3.0,0.0,0.0,31.5,0.5074713829999999,1.0,16.5,67.32900810000001,0.0,0.0,0.0,18.79999924,15.44999981
2016-11-06 14:00:00,3.0,0.0,0.0,24.0,0.25373569149999997,1.0,17.0,65.22542953499999,0.0,0.0,0.0,18.94999981,16.0
2016-11-06 15:00:00,2.5,0.0,0.0,28.5,0.5074713829999999,0.5,17.5,68.07140064000001,0.0,0.0,0.0,19.10000038,15.849999905
2016-11-06 16:00:00,0.5,0.0,0.0,13.5,0.7537356915000001,1.0,16.0,65.879813195,0.0,0.0,0.0,19.10000038,15.75
2016-11-06 17:00:00,1.0,0.0,0.0,16.5,0.5074713829999999,0.5,18.0,67.92843151,0.0,0.0,0.0,19.10000038,14.150000095
2016-11-06 18:00:00,0.0,0.0,0.0,27.0,0.25373569149999997,1.0,16.5,72.037125585,0.0,0.0,0.0,18.89999962,13.200000285000002
2016-11-06 19:00:00,1.0,0.0,0.0,19.5,1.007471383,0.5,17.0,73.632871625,0.0,0.0,0.0,18.94999981,12.75
2016-11-06 20:00:00,0.5,0.0,0.0,45.0,0.5074713829999999,1.0,17.5,71.89111137500001,0.0,0.0,0.0,18.849999429999997,12.19999981
2016-11-06 21:00:00,0.0,0.0,0.0,92.0,19.50747138,0.5,17.0,82.669092175,0.0,0.0,0.0,19.10000038,11.25
2016-11-06 22:00:00,0.0,0.0,0.0,100.5,21.50747138,1.0,15.0,79.33822280999999,0.0,0.0,0.0,19.10000038,10.849999905
2016-11-06 23:00:00,0.0,0.0,0.0,149.5,22.00747138,0.5,17.0,89.228200915,0.0,0.0,0.0,19.349999429999997,10.55000019
2016-11-07 00:00:00,0.0,0.0,0.0,228.0,23.50747138,1.0,18.5,89.81026108,0.0,0.0,0.0,19.79999924,10.150000095
2016-11-07 01:00:00,0.0,0.0,0.0,363.5,25.00747138,1.0,40.5,180.79035599999997,0.0,0.0,0.0,20.44999981,9.5500001905
2016-11-07 02:00:00,0.0,0.0,0.0,381.0,22.00747138,0.5,39.0,205.0147365,0.0,0.0,0.0,21.0,9.0
2016-11-07 03:00:00,0.0,0.0,0.0,356.5,20.50747138,1.0,41.0,188.73784255,0.0,0.0,0.0,21.30000019,8.5
2016-11-07 04:00:00,0.5,88.425,0.0,372.5,19.00747138,0.5,73.0,301.1871684,0.0,0.0,0.0,21.29999924,8.4499998095
2016-11-07 05:00:00,0.5,159.165,0.0,357.5,17.00747138,1.0,72.0,362.74773435000003,0.0,0.0,0.0,21.29999924,8.199999809
2016-11-07 06:00:00,2.0,141.48,292.5,385.0,18.00747138,0.5,81.5,473.7695926,6.5,6.5,3.0,21.20000076,8.000000238
2016-11-07 07:00:00,1.5,141.48,246.5,265.5,16.00747138,1.0,81.5,470.76710575000004,10.0,5.5,7.0,21.69999981,7.400000095
2016-11-07 08:00:00,1.0,123.79499999999999,234.0,245.0,17.00747138,0.5,83.0,463.50650820000004,12.0,7.5,7.5,21.60000038,7.75
2016-11-07 09:00:00,1.5,123.79499999999999,234.5,220.0,16.50747138,1.0,80.5,453.5079428,14.5,11.0,6.0,21.650000570000003,9.9999999995
2016-11-07 10:00:00,1.0,123.79499999999999,224.0,204.0,18.00747138,0.5,73.0,412.82577545000004,8.0,4.0,3.5,21.70000076,11.30000019
2016-11-07 11:00:00,1.0,123.79499999999999,220.0,179.5,16.50747138,1.0,80.5,438.97583835,12.0,8.5,5.0,21.79999924,11.69999981
2016-11-07 12:00:00,1.5,123.79499999999999,126.5,186.0,17.50747138,1.0,83.5,438.28974185,9.5,8.0,7.5,21.849999429999997,14.25
2016-11-07 13:00:00,2.0,123.79499999999999,1.5,187.5,18.50747138,0.5,82.5,419.9336325,10.5,11.0,7.5,22.0,14.799999714999998
2016-11-07 14:00:00,1.5,123.79499999999999,1.0,179.5,18.00747138,1.0,82.0,426.6876532,10.0,8.0,6.5,22.10000038,14.94999981
2016-11-07 15:00:00,1.0,123.79499999999999,1.5,182.0,18.00747138,0.5,80.5,432.5233844,9.0,10.5,5.0,22.20000076,15.400000095
